"REF_DATE","GEO","DGUID","Value","North American Industry Classification System (NAICS)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2009","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","190709.2","","","","1"
"2010","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","195819.3","","","","1"
"2011","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","201413.0","","","","1"
"2012","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","206590.7","","","","1"
"2013","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","211555.3","","","","1"
"2014","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","219060.9","","","","1"
"2015","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","224153.4","","","","1"
"2016","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","230763.5","","","","1"
"2017","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","239852.3","","","","1"
"2018","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","246260.2","","","","1"
"2019","British Columbia","2016A000259","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467264","10.2.1","253048.7","","","","1"
"2000","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","1536.0","","","","1"
"2001","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","1599.9","","","","1"
"2002","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","1585.7","","","","1"
"2003","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","1571.7","","","","1"
"2004","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","1648.7","","","","1"
"2005","Yukon","2016A000260","Chained (2012) dollars","All industries [T001]","Dollars","81","millions","6","v62467569","11.2.1","1685.6","","","","1"
